level,parent_2d_code,parent_2d_label,code,label,jobs_2023,salary_mean_annual_gross_2018,contracts_2025,demandants_2025,unemployed_2025,ai_exposure,ai_confidence,source_url
4d,29,Profesionales de la cultura y el espectáculo,2934,"Directores de cine, de teatro y afines",,,13168,3693,2446,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2934-Directores-de-cine--de-teatro-y-afines~.html
4d,29,Profesionales de la cultura y el espectáculo,2935,Actores,,,171865,3317,2017,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2935-Actores~.html
4d,29,Profesionales de la cultura y el espectáculo,2936,"Locutores de radio, televisión y otros presentadores",,,13612,1217,741,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2936-Locutores-de-radio--televisi-n-y-otros-presentadores~.html
4d,29,Profesionales de la cultura y el espectáculo,2937,Profesionales de espectáculos taurinos,,,1986,461,346,0,10,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2937-Profesionales-de-espect-culos-taurinos~.html
4d,29,Profesionales de la cultura y el espectáculo,2939,Artistas creativos e interpretativos no clasificados bajo otros epígrafes,,,122504,352,182,1,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2939-Artistas-creativos-e-interpretativos-no-clasificados-bajo-otros-ep-grafes~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3110,Delineantes y dibujantes técnicos,,,11527,9150,5420,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3110-Delineantes-y-dibujantes-t-cnicos~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3121,Técnicos en ciencias físicas y químicas,,,2302,730,425,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3121-T-cnicos-en-ciencias-f-sicas-y-qu-micas~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3122,Técnicos en construcción,,,12027,3193,1853,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3122-T-cnicos-en-construcci-n~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3123,Técnicos en electricidad,,,22633,8066,3932,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3123-T-cnicos-en-electricidad~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3124,Técnicos en electrónica (excepto electro medicina),,,6154,5310,3147,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3124-T-cnicos-en-electr-nica--excepto-electro-medicina-~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3125,"Técnicos en electrónica, especialidad en electro medicina",,,916,89,60,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3125-T-cnicos-en-electr-nica--especialidad-en-electro-medicina~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3126,Técnicos en mecánica,,,11420,5631,2944,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3126-T-cnicos-en-mec-nica~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3127,Técnicos y analistas de laboratorio en química industrial,,,12261,4233,2411,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3127-T-cnicos-y-analistas-de-laboratorio-en-qu-mica-industrial~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3128,Técnicos en metalurgia y minas,,,10780,2184,1075,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3128-T-cnicos-en-metalurgia-y-minas~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3129,"Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías",,,11341,9488,5579,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3129-Otros-t-cnicos-de-las-ciencias-f-sicas--qu-micas--medioambientales-y-de-las-ingenier-as~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3131,Técnicos en instalaciones de producción de energía,,,3521,957,549,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3131-T-cnicos-en-instalaciones-de-producci-n-de-energ-a~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3132,"Técnicos en instalaciones de tratamiento de residuos, de aguas y otros operadores en plantas similares",,,5524,1096,624,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3132-T-cnicos-en-instalaciones-de-tratamiento-de-residuos--de-aguas-y-otros-operadores-en-plantas-similares~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3133,Técnicos en control de instalaciones de procesamiento de productos químicos,,,388,73,51,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3133-T-cnicos-en-control-de-instalaciones-de-procesamiento-de-productos-qu-micos~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3134,Técnicos de refinerías de petróleo y gas natural,,,441,110,63,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3134-T-cnicos-de-refiner-as-de-petr-leo-y-gas-natural~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3135,Técnicos en control de procesos de producción de metales,,,2679,102,46,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3135-T-cnicos-en-control-de-procesos-de-producci-n-de-metales~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3139,Técnicos en control de procesos no clasificados bajo otros epígrafes,,,19788,7060,3682,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3139-T-cnicos-en-control-de-procesos-no-clasificados-bajo-otros-ep-grafes~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3141,Técnicos en ciencias biológicas (excepto en áreas sanitarias),,,909,723,454,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3141-T-cnicos-en-ciencias-biol-gicas--excepto-en--reas-sanitarias-~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3142,Técnicos agropecuarios,,,1780,1276,652,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3142-T-cnicos-agropecuarios~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3143,Técnicos forestales y del medio natural,,,1053,687,323,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3143-T-cnicos-forestales-y-del-medio-natural~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3151,Jefes y oficiales de máquinas,,,13624,731,305,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3151-Jefes-y-oficiales-de-m-quinas~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3152,Capitanes y oficiales de puente,,,2902,637,254,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3152-Capitanes-y-oficiales-de-puente~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3153,Pilotos de aviación y profesionales afines,,,2198,478,237,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3153-Pilotos-de-aviaci-n-y-profesionales-afines~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3154,Controladores de tráfico aéreo,,,283,34,21,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3154-Controladores-de-tr-fico-a-reo~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3155,Técnicos en seguridad aeronáutica,,,431,36,18,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3155-T-cnicos-en-seguridad-aeron-utica~.html
4d,31,Técnicos de las ciencias y de las ingenierías,3160,"Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías",,,12404,6291,3300,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3160-T-cnicos-de-control-de-calidad-de-las-ciencias-f-sicas--qu-micas-y-de-las-ingenier-as~.html
4d,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",3201,Supervisores en ingeniería de minas,,,146,158,57,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3201-Supervisores-en-ingenier-a-de-minas~.html
4d,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",3202,Supervisores de la construcción,,,12924,4725,2943,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3202-Supervisores-de-la-construcci-n~.html
4d,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",3203,Supervisores de industrias alimenticias y del tabaco,,,2141,730,462,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3203-Supervisores-de-industrias-alimenticias-y-del-tabaco~.html
4d,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",3204,Supervisores de industrias química y farmacéutica,,,1384,146,103,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3204-Supervisores-de-industrias-qu-mica-y-farmac-utica~.html
4d,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",3205,"Supervisores de industrias de transformación de plásticos, caucho y resinas naturales",,,341,98,53,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3205-Supervisores-de-industrias-de-transformaci-n-de-pl-sticos--caucho-y-resinas-naturales~.html
4d,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",3206,Supervisores de industrias de la madera y pastero papeleras,,,227,109,70,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3206-Supervisores-de-industrias-de-la-madera-y-pastero-papeleras~.html
4d,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",3207,Supervisores de la producción en industrias de artes gráficas y en la fabricación de productos de papel,,,579,207,144,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3207-Supervisores-de-la-producci-n-en-industrias-de-artes-gr-ficas-y-en-la-fabricaci-n-de-productos-de-papel~.html
4d,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",3209,Supervisores de otras industrias manufactureras,,,4165,1260,726,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3209-Supervisores-de-otras-industrias-manufactureras~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3311,Técnicos en radioterapia,,,1437,295,187,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3311-T-cnicos-en-radioterapia~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3312,Técnicos en imagen para el diagnóstico,,,11233,2727,1719,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3312-T-cnicos-en-imagen-para-el-diagn-stico~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3313,Técnicos en anatomía patológica y citología,,,1566,1045,639,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3313-T-cnicos-en-anatom-a-patol-gica-y-citolog-a~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3314,Técnicos en laboratorio de diagnóstico clínico,,,11706,6705,4070,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3314-T-cnicos-en-laboratorio-de-diagn-stico-cl-nico~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3315,Técnicos en ortoprótesis,,,359,122,79,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3315-T-cnicos-en-ortopr-tesis~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3316,Técnicos en prótesis dentales,,,2310,1819,1290,5,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3316-T-cnicos-en-pr-tesis-dentales~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3317,Técnicos en audioprótesis,,,979,243,181,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3317-T-cnicos-en-audiopr-tesis~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3321,Técnicos superiores en higiene bucodental,,,12499,3310,2225,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3321-T-cnicos-superiores-en-higiene-bucodental~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3322,Técnicos superiores en documentación sanitaria,,,335,439,275,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3322-T-cnicos-superiores-en-documentaci-n-sanitaria~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3323,Técnicos superiores en dietética,,,281,1278,738,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3323-T-cnicos-superiores-en-diet-tica~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3324,Técnicos en optometría,,,336,294,205,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3324-T-cnicos-en-optometr-a~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3325,Ayudantes fisioterapeutas,,,2151,2656,1494,1,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3325-Ayudantes-fisioterapeutas~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3326,Técnicos en prevención de riesgos laborales y salud ambiental,,,14460,3077,1570,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3326-T-cnicos-en-prevenci-n-de-riesgos-laborales-y-salud-ambiental~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3327,Ayudantes de veterinaria,,,4412,3055,1970,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3327-Ayudantes-de-veterinaria~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3329,Técnicos de la sanidad no clasificados bajo otros epígrafes,,,14174,673,401,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3329-T-cnicos-de-la-sanidad-no-clasificados-bajo-otros-ep-grafes~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3331,"Profesionales de la acupuntura, la naturopatía, la homeopatía, la medicina tradicional china y la ayurveda",,,255,823,536,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3331-Profesionales-de-la-acupuntura--la-naturopat-a--la-homeopat-a--la-medicina-tradicional-china-y-la-ayurveda~.html
4d,33,Técnicos sanitarios y profesionales de las terapias alternativas,3339,Otros profesionales de las terapias alternativas,,,1464,547,370,1,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3339-Otros-profesionales-de-las-terapias-alternativas~.html
4d,34,Profesionales de apoyo en finanzas y matemáticas,3401,"Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas",,,782,2290,972,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3401-Profesionales-de-apoyo-e-intermediarios-de-cambio--bolsa-y-finanzas~.html
4d,34,Profesionales de apoyo en finanzas y matemáticas,3402,Comerciales de préstamos y créditos,,,876,697,450,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3402-Comerciales-de-pr-stamos-y-cr-ditos~.html
4d,34,Profesionales de apoyo en finanzas y matemáticas,3403,Tenedores de libros,,,276,2865,1769,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3403-Tenedores-de-libros~.html
4d,34,Profesionales de apoyo en finanzas y matemáticas,3404,"Profesionales de apoyo en servicios estadísticos, matemáticos y afines",,,1633,211,128,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3404-Profesionales-de-apoyo-en-servicios-estad-sticos--matem-ticos-y-afines~.html
4d,34,Profesionales de apoyo en finanzas y matemáticas,3405,Tasadores,,,333,231,151,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3405-Tasadores~.html
4d,35,"Representantes, agentes comerciales y afines",3510,Agentes y representantes comerciales,,,81426,40019,26600,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3510-Agentes-y-representantes-comerciales~.html
4d,35,"Representantes, agentes comerciales y afines",3521,Mediadores y agentes de seguros,,,2161,1884,1223,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3521-Mediadores-y-agentes-de-seguros~.html
4d,35,"Representantes, agentes comerciales y afines",3522,Agentes de compras,,,4733,9385,5779,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3522-Agentes-de-compras~.html
4d,35,"Representantes, agentes comerciales y afines",3523,Consignatarios,,,183,62,43,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3523-Consignatarios~.html
4d,35,"Representantes, agentes comerciales y afines",3531,Representantes de aduanas,,,96,199,135,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3531-Representantes-de-aduanas~.html
4d,35,"Representantes, agentes comerciales y afines",3532,Organizadores de conferencias y eventos,,,8093,2349,1393,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3532-Organizadores-de-conferencias-y-eventos~.html
4d,35,"Representantes, agentes comerciales y afines",3533,Agentes o intermediarios en la contratación de la mano de obra (excepto representantes de espectáculos),,,719,215,66,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3533-Agentes-o-intermediarios-en-la-contrataci-n-de-la-mano-de-obra--excepto-representantes-de-espect-culos-~.html
4d,35,"Representantes, agentes comerciales y afines",3534,Agentes y administradores de la propiedad inmobiliaria,,,7264,5784,3936,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3534-Agentes-y-administradores-de-la-propiedad-inmobiliaria~.html
4d,35,"Representantes, agentes comerciales y afines",3535,Portavoces y agentes de relaciones públicas,,,1000,103,53,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3535-Portavoces-y-agentes-de-relaciones-p-blicas~.html
4d,35,"Representantes, agentes comerciales y afines",3539,Representantes artísticos y deportivos y otros agentes de servicios comerciales no clasificados bajo otros epígrafes,,,855,376,246,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3539-Representantes-art-sticos-y-deportivos-y-otros-agentes-de-servicios-comerciales-no-clasificados-bajo-otros-ep-grafes~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3611,Supervisores de secretaría,,,464,58,37,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3611-Supervisores-de-secretar-a~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3612,Asistentes jurídico-legales,,,1609,566,336,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3612-Asistentes-jur-dico-legales~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3613,Asistentes de dirección y administrativos,,,52678,44582,26043,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3613-Asistentes-de-direcci-n-y-administrativos~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3614,Secretarios de centros médicos o clínicas,,,830,265,162,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3614-Secretarios-de-centros-m-dicos-o-cl-nicas~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3621,Profesionales de apoyo de la administración pública de tributos,,,493,125,66,8,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3621-Profesionales-de-apoyo-de-la-administraci-n-p-blica-de-tributos~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3622,Profesionales de apoyo de la administración pública de servicios sociales,,,1546,292,124,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3622-Profesionales-de-apoyo-de-la-administraci-n-p-blica-de-servicios-sociales~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3623,Profesionales de apoyo de la administración pública de servicios de expedición de licencias,,,57,64,33,9,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3623-Profesionales-de-apoyo-de-la-administraci-n-p-blica-de-servicios-de-expedici-n-de-licencias~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3629,Otros profesionales de apoyo de la administración pública para tareas de inspección y control y tareas similares,,,2295,346,182,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3629-Otros-profesionales-de-apoyo-de-la-administraci-n-p-blica-para-tareas-de-inspecci-n-y-control-y-tareas-similares~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3631,"Técnicos de la policía nacional, autonómica y local",,,23,39,22,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3631-T-cnicos-de-la-polic-a-nacional--auton-mica-y-local~.html
4d,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,3632,Suboficiales de la guardia civil,,,8,7,3,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3632-Suboficiales-de-la-guardia-civil~.html
4d,37,"Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",3711,Profesionales de apoyo de servicios jurídicos y servicios similares,,,2071,2119,1246,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_3711-Profesionales-de-apoyo-de-servicios-jur-dicos-y-servicios-similares~.html
